Timestamp,Q1 CLASSIFICATION
3/5/2020 11:30:32,N
3/5/2020 11:38:39,Y
3/5/2020 11:40:11,N
3/5/2020 11:46:31,N
3/5/2020 11:49:33,Y
3/5/2020 11:52:25,Y
3/5/2020 11:52:38,Y
3/5/2020 11:52:42,Y
3/5/2020 11:59:47,Y
3/5/2020 12:00:58,N
3/5/2020 12:03:08,Y
3/5/2020 12:14:34,N
3/5/2020 12:26:29,N
3/5/2020 12:29:43,Y
3/5/2020 12:29:52,Y
3/5/2020 12:38:19,Y
3/5/2020 12:39:46,N
3/5/2020 12:41:14,N
3/5/2020 12:41:52,Y
3/5/2020 12:49:57,Y
3/5/2020 12:51:08,Y
3/5/2020 12:51:53,Y
3/5/2020 12:54:17,Y
3/5/2020 13:02:38,N
3/5/2020 13:10:53,Y
3/5/2020 13:14:32,Y
3/5/2020 13:14:43,Y
3/5/2020 13:19:02,N
3/5/2020 13:24:03,N
3/5/2020 13:30:36,Y
3/5/2020 13:31:47,Y
3/5/2020 13:31:56,Y
3/5/2020 13:33:11,N
3/5/2020 13:36:50,Y
3/5/2020 13:39:40,Y
3/5/2020 13:46:43,N
3/5/2020 13:54:19,N
3/5/2020 13:57:36,Y
3/5/2020 14:12:22,Y
3/5/2020 14:27:37,N
3/5/2020 14:29:26,N
3/5/2020 14:36:09,N
3/5/2020 14:41:13,Y
3/5/2020 14:43:07,Y
3/5/2020 14:44:21,Y
3/5/2020 14:50:23,Y
3/5/2020 15:39:29,Y
3/5/2020 15:42:27,Y
3/5/2020 15:50:38,N
3/5/2020 15:54:59,Y
3/5/2020 15:55:16,N
3/5/2020 15:56:23,N
3/5/2020 15:58:49,Y
3/5/2020 16:03:12,Y
3/5/2020 16:08:56,Y
3/5/2020 16:17:31,Y
3/5/2020 16:22:53,Y
3/5/2020 16:28:06,Y
3/5/2020 16:30:14,N
3/5/2020 16:31:15,N
3/5/2020 16:34:42,Y
3/5/2020 16:40:39,Y
3/5/2020 16:47:51,Y
3/5/2020 16:50:23,Y
3/5/2020 16:50:27,N
3/5/2020 17:19:13,Y
3/5/2020 17:30:45,Y
3/5/2020 17:33:55,N
3/5/2020 17:35:59,N
3/5/2020 17:44:48,N
3/5/2020 17:46:11,Y
3/5/2020 17:59:27,Y
3/5/2020 18:02:34,N
3/5/2020 18:06:45,Y
3/5/2020 18:23:21,Y
3/5/2020 18:24:24,Y
3/5/2020 18:25:11,N
3/5/2020 18:52:06,N
3/5/2020 18:59:50,Y
3/5/2020 19:01:54,N
3/5/2020 19:08:03,Y
3/5/2020 19:10:50,Y
3/5/2020 19:12:06,Y
3/5/2020 19:46:42,Y
3/5/2020 19:53:10,Y
3/5/2020 19:58:08,Y
3/5/2020 19:58:40,N
3/5/2020 20:00:13,N
3/5/2020 20:17:46,Y
3/5/2020 20:32:18,N
3/5/2020 20:45:58,N
3/5/2020 20:58:35,Y
3/5/2020 20:59:34,Y
3/5/2020 21:11:44,N
3/5/2020 21:41:20,Y
3/6/2020 0:21:36,Y
3/6/2020 5:17:28,Y
3/6/2020 5:44:46,Y
3/6/2020 5:54:37,Y
3/6/2020 5:55:46,Y
3/6/2020 6:03:06,Y
3/6/2020 7:04:37,Y
3/6/2020 7:07:46,N
3/6/2020 8:11:28,Y
3/6/2020 8:19:02,N
3/6/2020 8:25:37,N
3/6/2020 8:26:39,N
3/6/2020 9:16:46,N
3/6/2020 9:24:55,N
3/6/2020 10:00:35,N
3/6/2020 10:06:52,Y
3/6/2020 10:13:08,Y
3/6/2020 10:13:10,N
3/6/2020 10:15:03,N
3/6/2020 10:16:15,Y
3/6/2020 10:17:12,Y
3/6/2020 10:21:46,N
3/6/2020 10:22:29,Y
3/6/2020 10:28:55,Y
3/6/2020 10:29:49,N
3/6/2020 10:31:59,Y
3/6/2020 10:32:15,N
3/6/2020 10:39:05,N
3/6/2020 10:54:45,Y
3/6/2020 10:54:50,Y
3/6/2020 10:55:58,Y
3/6/2020 11:00:42,N
3/6/2020 11:05:02,Y
3/6/2020 11:15:08,Y
3/6/2020 11:24:56,N
3/6/2020 11:31:50,Y
